uvig_253495	MGYG000002545_1	98.332	16008	247	9	35579	51572	1395949	1379948	0.0	28064
uvig_459064	MGYG000004340_5	86.143	5196	637	56	38611	43768	24456	29606	0.0	5529
uvig_50611	MGYG000000589_71	91.920	2042	139	17	1580	3599	1	2038	0.0	2833
uvig_425896	MGYG000002040_6	98.889	13323	148	0	53508	66830	26220	39542	0.0	23784
uvig_445848	MGYG000002545_1	98.970	10578	104	4	1	10574	1537004	1547580	0.0	18925
uvig_315570	MGYG000002545_1	96.871	14669	451	5	34116	48778	300485	285819	0.0	24539
uvig_464463	MGYG000002545_1	97.623	7741	184	0	10302	18042	175632	183372	0.0	13276
uvig_445358	MGYG000002545_1	98.271	7692	129	4	610	8299	2807670	2815359	0.0	13465
uvig_291689	MGYG000001255_12	99.535	20848	96	1	1	20848	20849	3	0.0	37960
uvig_294948	MGYG000002040_11	91.016	6745	498	71	44692	51419	71003	77656	0.0	8999
uvig_155528	MGYG000004336_87	98.021	7883	141	14	35886	43761	1592	9466	0.0	13679
uvig_139934	MGYG000002545_1	97.338	6837	180	2	613	7449	1623409	1630243	0.0	11616
uvig_367837	MGYG000001255_12	98.319	35459	498	55	28697	64124	35394	3	0.0	62089
uvig_331565	MGYG000002545_1	98.767	4865	47	3	1	4852	490960	486096	0.0	8639
uvig_462454	MGYG000002545_1	98.532	3406	49	1	1	3406	1718582	1715178	0.0	6011
uvig_229456	MGYG000001300_1	95.851	9979	403	6	3530	13506	947734	957703	0.0	16124
uvig_100104	MGYG000002545_1	98.726	4946	60	3	1	4946	1099075	1094133	0.0	8781
uvig_234856	MGYG000001255_12	81.261	14414	2487	155	300	14628	6457	20741	0.0	11457
uvig_312885	MGYG000002040_1	89.091	3465	333	30	2062	5492	24353	20900	0.0	4263
uvig_488038	MGYG000002545_1	96.812	7936	232	16	1	7926	359411	351487	0.0	13234
